date,mvrv_z_score
2010-01-01,1.2484005410300431e-15
2010-01-02,1.2436353624611366e-15
2010-01-03,1.2366117340639902e-15
2010-01-04,1.2298526604094448e-15
2010-01-05,1.2225428766319057e-15
2010-01-06,1.2165901197592433e-15
2010-01-07,1.2110190558695922e-15
2010-01-08,1.2055344655220578e-15
2010-01-09,1.2001700609587207e-15
2010-01-10,1.1934875995890532e-15
2010-01-11,1.1879523626349807e-15
2010-01-12,1.1824682320438832e-15
2010-01-13,1.7652966616147394e-15
2010-01-14,1.1720213775289486e-15
2010-01-15,1.1672849196794904e-15
2010-01-16,1.1631178308581521e-15
2010-01-17,1.1587825313655782e-15
2010-01-18,1.1546758200010762e-15
2010-01-19,1.1506306214760134e-15
2010-01-20,1.1455171391162305e-15
2010-01-21,1.7098593895617679e-15
2010-01-22,1.135678615953927e-15
2010-01-23,1.13063409807011e-15
2010-01-24,1.1258208941658633e-15
2010-01-25,1.6789385002310012e-15
2010-01-26,1.1133257933382523e-15
2010-01-27,1.6625352093878513e-15
2010-01-28,1.1030434658422307e-15
2010-01-29,1.6457839992592213e-15
2010-01-30,1.0910169263977841e-15
2010-01-31,1.6293235255790742e-15
2010-02-01,1.6213667463201372e-15
2010-02-02,1.6151509998594891e-15
2010-02-03,1.6037029445668198e-15
2010-02-04,1.5941197293234443e-15
2010-02-05,2.1131960484937277e-15
2010-02-06,1.5770414917698779e-15
2010-02-07,2.0910084121943345e-15
2010-02-08,1.5602456011201534e-15
2010-02-09,2.069386999518964e-15
2010-02-10,1.5454440098631953e-15
2010-02-11,2.0518197815411746e-15
2010-02-12,2.0424046961556865e-15
2010-02-13,1.5229440895798666e-15
2010-02-14,2.0201171024237778e-15
2010-02-15,2.0113376715957198e-15
2010-02-16,2.0016991469176853e-15
2010-02-17,1.990011035305466e-15
2010-02-18,1.9799494806836054e-15
2010-02-19,1.9707517767685216e-15
2010-02-20,1.9608835476391253e-15
2010-02-21,1.9504128558289886e-15
2010-02-22,1.938345192633433e-15
2010-02-23,1.926881663620604e-15
2010-02-24,1.9191183866453096e-15
2010-02-25,1.912180240022154e-15
2010-02-26,2.380612759359687e-15
2010-02-27,1.8968617797411683e-15
2010-02-28,1.8899956304082867e-15
2010-03-01,2.3518531623483785e-15
2010-03-02,2.3416841560292468e-15
2010-03-03,2.333526473779894e-15
2010-03-04,2.3236740786393177e-15
2010-03-05,2.3146409726182884e-15
2010-03-06,2.3053645896823912e-15
2010-03-07,2.296058702487653e-15
2010-03-08,2.289604603273453e-15
2010-03-09,2.2821120049938137e-15
2010-03-10,1.8190843889070592e-15
2010-03-11,2.2671215119675826e-15
2010-03-12,2.2610296707230277e-15
2010-03-13,2.2533734751717176e-15
2010-03-14,2.247156792293396e-15
2010-03-15,2.2404811878768245e-15
2010-03-16,2.234286309013347e-15
2010-03-17,2.2276381022533717e-15
2010-03-18,2.220835560385726e-15
2010-03-19,2.2134487076084947e-15
2010-03-20,2.2042481674153728e-15
2010-03-21,2.1955498145705697e-15
2010-03-22,2.6245293003857236e-15
2010-03-23,2.1774257292666023e-15
2010-03-24,2.169491958414204e-15
2010-03-25,2.5930581204674363e-15
2010-03-26,2.1518847532487226e-15
2010-03-27,2.572583591681971e-15
2010-03-28,2.56254771533675e-15
2010-03-29,2.1267583051225178e-15
2010-03-30,2.117249830506712e-15
2010-03-31,2.529705422975207e-15
2010-04-01,2.1007804873291806e-15
2010-04-02,2.0940402924346432e-15
2010-04-03,2.5045551220371515e-15
2010-04-04,2.4958065228205943e-15
2010-04-05,2.4880304746370327e-15
2010-04-06,2.4800006600462288e-15
2010-04-07,2.4703231468012184e-15
2010-04-08,2.4612165609253784e-15
2010-04-09,2.451881610187835e-15
2010-04-10,2.4391549882616694e-15
2010-04-11,2.4283442484556967e-15
2010-04-12,2.418586070364557e-15
2010-04-13,2.4095711063075027e-15
2010-04-14,2.4010476853409672e-15
2010-04-15,2.3908988398900514e-15
2010-04-16,2.778399304833746e-15
2010-04-17,2.7664822500719784e-15
2010-04-18,2.7533899543114786e-15
2010-04-19,2.3495194899284385e-15
2010-04-20,2.7303426347857935e-15
2010-04-21,2.7189371291733855e-15
2010-04-22,2.710715944354613e-15
2010-04-23,2.7030055548258433e-15
2010-04-24,2.6944218273742195e-15
2010-04-25,3.0701698677463293e-15
2010-04-26,2.2955324098493647e-15
2010-04-27,2.287795384591093e-15
2010-04-28,2.280110338974408e-15
2010-04-29,2.2738724133445142e-15
2010-04-30,3.0237263967558716e-15
2010-05-01,3.0134905076200006e-15
2010-05-02,2.2536561130603334e-15
2010-05-03,2.996087825779497e-15
2010-05-04,2.988612584178233e-15
2010-05-05,2.235839997678248e-15
2010-05-06,2.9730136572805155e-15
2010-05-07,2.9658689415142942e-15
2010-05-08,2.218182540491343e-15
2010-05-09,2.212438659146376e-15
