date,hash_rate_mean
2010-01-01,7815815.003418332
2010-01-02,7308915.41841787
2010-01-03,10919021.023581924
2010-01-04,10627340.907594422
2010-01-05,11637593.369159777
2010-01-06,9594317.430953806
2010-01-07,9061630.277343605
2010-01-08,8988630.248063948
2010-01-09,8914633.92399623
2010-01-10,11164416.90826239
2010-01-11,9365082.322797298
2010-01-12,10335579.314789103
2010-01-13,10609046.540106151
2010-01-14,9510708.392985253
2010-01-15,8927896.204364289
2010-01-16,8116043.239284665
2010-01-17,8509556.164178608
2010-01-18,8131868.209563561
2010-01-19,8082009.065567882
2010-01-20,10160054.488057593
2010-01-21,11405795.927092567
2010-01-22,8573696.567028267
2010-01-23,10421128.15521194
2010-01-24,9993408.810942514
2010-01-25,13836500.469735516
2010-01-26,13069426.24471489
2010-01-27,10915691.255809974
2010-01-28,11823350.74584379
2010-01-29,13161759.098315556
2010-01-30,14084086.246746274
2010-01-31,11016414.301833438
2010-02-01,12356562.340542458
2010-02-02,9728229.48356918
2010-02-03,17845866.784285966
2010-02-04,15717504.239949504
2010-02-05,20284152.46704797
2010-02-06,17317570.34268962
2010-02-07,19807820.418931816
2010-02-08,17866251.86853196
2010-02-09,18676759.79568689
2010-02-10,15222481.82345984
2010-02-11,15267575.137945192
2010-02-12,16699412.191739157
2010-02-13,20965827.668206673
2010-02-14,18780754.354854383
2010-02-15,22072537.134462256
2010-02-16,24430814.832369108
2010-02-17,30170065.683916397
2010-02-18,26197090.651280414
2010-02-19,24039975.199339826
2010-02-20,26197394.568896256
2010-02-21,27887016.201675978
2010-02-22,32839320.24096506
2010-02-23,31232891.15818522
2010-02-24,27320357.152142987
2010-02-25,28983941.557122737
2010-02-26,32418637.828086145
2010-02-27,32646351.08086989
2010-02-28,29319921.204724252
2010-03-01,36220654.45231964
2010-03-02,35348991.56923237
2010-03-03,28546984.15220607
2010-03-04,34952042.01054899
2010-03-05,32429257.65412792
2010-03-06,32854662.734685652
2010-03-07,33738000.99550827
2010-03-08,27874068.694339287
2010-03-09,32792998.83522257
2010-03-10,36606025.78831784
2010-03-11,29779929.297506247
2010-03-12,27321868.97847428
2010-03-13,34459525.190433286
2010-03-14,28196281.515949283
2010-03-15,30557888.581885085
2010-03-16,28132292.04744116
2010-03-17,30705671.08022072
2010-03-18,31662777.87383611
2010-03-19,34267576.63257656
2010-03-20,43372329.37068065
2010-03-21,41381103.909182705
2010-03-22,40334348.638108045
2010-03-23,47159588.41741109
2010-03-24,38825739.30634226
2010-03-25,42280828.30696216
2010-03-26,44688186.54433446
2010-03-27,40723983.63314502
2010-03-28,41899150.10800245
2010-03-29,44483071.40215387
2010-03-30,48576357.55311157
2010-03-31,47658984.33161131
2010-04-01,43922196.59071896
2010-04-02,47193307.516771674
2010-04-03,48702531.28925739
2010-04-04,51480269.68951222
2010-04-05,46419527.05403502
2010-04-06,47991996.60944916
2010-04-07,58816155.44999737
2010-04-08,55144369.132044144
2010-04-09,56968144.23624065
2010-04-10,79412902.61972275
2010-04-11,66790435.187582515
2010-04-12,71587655.23496474
2010-04-13,73956786.36533633
2010-04-14,69932317.17244658
2010-04-15,83574609.48501536
2010-04-16,80829294.61551215
2010-04-17,83753153.11901942
2010-04-18,95128431.8340604
2010-04-19,90186105.98269407
2010-04-20,79454881.84390607
2010-04-21,87634266.16821559
2010-04-22,90686655.52480192
